review_id,product_id,marketplace,product_title,product_url,product_image_url,product_image_path,rating,review_text,review_image_urls,review_image_paths,verified_purchase,annotator_id,final_label
RV01,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5,অসাধারণ একটি প্রোডাক্ট। মাত্র ৬৩৫ টাকা খরচ করে দারাজের টাইম স্কয়ার থেকে হোকো EQ24 TWS টা পেয়েছি। অর্ডারের একদিনের মাথায় পণ্য হাতে পেয়েছি। একদম অথেনটিক একটি প্রোডাক্ট। সাউন্ড এবং বেজ কোয়ালিটি একদম ডিজে পার্টির মতো।  এত অল্পদামে ওয়ার বার্ড একমাত্র হোকোই দেয়। বাজারে অসংখ্য ভূঁইফোড় ওয়ারবার্ড বার বার না কিনে একবার ভালো ব্র্যান্ডের পণ্য কেনা ভালো। আলহামদুলিল্লাহ। ,https://lzd-u.slatic.net/965bc99b70d04dacacd8ce46784aa155_9ab193d1e72640aab23df0098522a7c1.jpg | https://lzd-u.slatic.net/965bc99b70d04dacacd8ce46784aa155_651465ce6b784341b2a6536dd1a0f1fb.jpg,output\images\reviews\RV01\img_01.jpg | output\images\reviews\RV01\img_02.jpg,True,,
RV02,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5,"প্যাকেজিং ভালো ছিল, tws টা অথেনটিক, সব কিছু মনমতো হইছে, চার্জ ব্যাকআপ কত দেয় সেটা দেখার বিষয়, এই দামে জোস প্রোডাক্ট
overall satisfied 😊 ",https://lzd-u.slatic.net/ab808c4cbb404d8e929dcea03fbd6302_c208d39a9e014e16aed7c6839d7dcb10.jpg | https://lzd-u.slatic.net/2a2ad2530a4c4588a115b555ffeab59b_996cae45d4654721b5b950fd5f48bfd1.jpg | https://lzd-u.slatic.net/2a2ad2530a4c4588a115b555ffeab59b_f7982df03fa8413bb9e8c9d138d06480.jpg | https://lzd-u.slatic.net/2a2ad2530a4c4588a115b555ffeab59b_093732361f854effa3ec4c6eddd0bd05.jpg,output\images\reviews\RV02\img_01.jpg | output\images\reviews\RV02\img_02.jpg | output\images\reviews\RV02\img_03.jpg | output\images\reviews\RV02\img_04.jpg,True,,
RV03,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5,"

প্রিমিয়াম কোয়ালিটি যেমন চাইছে তেমন পাইছি 
১০০% অরজিনাল, 
মেট ফিশিং,
খুব দ্রুত ডেলিভারি পেয়েছি, 
সেলারের রেসপন্স অনেক ভালো,

সাউন্ড কোয়ালিটি অনেক  ভালো,
ব্লুটুথ 5.4
ব্যাটারি ব্যাকআপ 5-6 hours পেয়েছি 
নিঃসন্দেহে এই প্রোডাক্টটি ক্রয় করতে পারেন সবাই",https://sg-test-11.slatic.net/other/roc/6bc598ada406535513f613241d4bef50.jpg | https://sg-test-11.slatic.net/other/roc/b652938feb81e9efb02c10db86b26db3.jpg | https://sg-test-11.slatic.net/other/roc/956661da0dfb8d20e36c8e7277fb22ef.jpg,output\images\reviews\RV03\img_01.jpg | output\images\reviews\RV03\img_02.jpg | output\images\reviews\RV03\img_03.jpg,True,,
RV04,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5," অর্ডারের পাঁচ দিনের মধ্যে প্রোডাক্ট টি পেয়েছি আলহামদুলিল্লাহ  খুব ভালো ও প্রিমিয়াম প্রোডাক্ট আমি ৭৫৬ টাকা দিয়ে নিয়েছি ডেলিভারি খরচ সহ🤍🥰
 ",https://lzd-u.slatic.net/34cd6b63dd28475f98785fbfc88aa8cb_268a101c72d748c198ddfde2850d5868.jpg | https://lzd-u.slatic.net/9fc230f282f8485285070df97915b2aa_e771c273b33d41978096994da1e50f90.jpg | https://lzd-u.slatic.net/34cd6b63dd28475f98785fbfc88aa8cb_1bc547ca045141649077cf2163799d19.jpg,output\images\reviews\RV04\img_01.jpg | output\images\reviews\RV04\img_02.jpg | output\images\reviews\RV04\img_03.jpg,True,,
RV05,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5,"kom dame exilent product high frequency te sound hlka fate jay bt ei price e beast jara ebty lvl er khojtasen eta perfect ekhono notun tai crg backup somporke idea nai bt compay claim kortese 7 h in one charge wet ato beshi na kane comfortable ami onk dami buds use korsi bt oigular sathe eta jora dile hobe na eta ei dam e onk clean 
sob sesh e time squre ke dhonno bad ato sondor packaging r quality maintain korar jonno r fast delivery o chilo ami 10/9 dibo best ❤️❤️❤️ ",https://lzd-u.slatic.net/c4e164bc10774520aa5285c1118b08ce_c1660e82827a430d9d5cc8ea345e0849.jpg,output\images\reviews\RV05\img_01.jpg,True,,
RV06,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5,"আলহামদুলিল্লাহ,,,,, এই প্রথম দারাজ থেকে যেমন টা চেয়েছি তেমন টা পেয়েছি,,,,,, ধন্যবাদ দারাজ ও সেলার কে  ",https://lzd-u.slatic.net/0e6cdfcf129546b4acc8797cd3fdbe31_3817e17c57fb43c8a6a29821f6ac0d0a.jpg,output\images\reviews\RV06\img_01.jpg,True,,
RV07,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5,"২ দিন হয়েছে হাতে পেয়েছি এখন পর্যন্ত ভালই সার্ভিস দিতেছে  সাউন্ড কোয়ালিটিও অনেক ভাল এখন বাকি দেখা যাক কতদিন সার্ভিস দেয়৷,, আশা করি অনেক দিন ব্যবহার করতে পারব। আরেকটা জিনিস হল এটা নয়েজ ক্যান্সেলেশন নাই এটা থাকলে আরও ভাল এক্সপ্রিয়েন্সড পেতাম তবে সমস্যা নেই অভার অল সব মিলেয়ে এই প্রাইজ এটা যতেষ্ট ভাল। ",https://lzd-u.slatic.net/1780144c98894e489dde9e2f012f51ca_644d9603d71042de8a916c7dd2e335a4.jpg | https://lzd-u.slatic.net/0f57da31b0884d87bab9ed1e24c6254b_8c8e382004c04bd1964f1e800b677f45.jpg,output\images\reviews\RV07\img_01.jpg | output\images\reviews\RV07\img_02.jpg,True,,
RV08,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5,সর্বপ্রথম ডেলিভারি ম্যান কে  ধন্যবাদ অনেক সুন্দর ব্যবহার ব্লুটুথ টি অনেক সুন্দর যে কেউ চাইলে নিতে পারেন খুব ভালো ব্লুটুথ অনেক সুন্দর  ,https://lzd-u.slatic.net/9505b2df4cd040c486b2fc0b0d64faaa_1c4a61d96b7742b5b9433e5ecb35a0db.jpg,output\images\reviews\RV08\img_01.jpg,True,,
RV09,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5,"Sound quality osthir, design comfortable fit, battery life bhalo. original earbuds paici",https://sg-test-11.slatic.net/other/roc/2e52e3bf9d1cb12b40d3755837bcc653.jpg | https://sg-test-11.slatic.net/other/roc/cd9e6d9ce29e749e24b97fc7f7b07944.jpg,output\images\reviews\RV09\img_01.jpg | output\images\reviews\RV09\img_02.jpg,True,,
RV10,PD01,Daraz,Hoco EQ24 Estrella Wireless BT Earbuds - Time Square,https://www.daraz.com.bd/products/hoco-eq24-estrella-wireless-bt-earbuds-time-square-i537147546-s2616333074.html,https://static-01.daraz.com.bd/p/f64ae08055ba4d65e3dc95f453e2d6a6.png,output\images\products\PD01.png,5,"১০০% অরজিনাল, 
মেট ফিশিং,
খুব দ্রুত ডেলিভারি পেয়েছি, 
সেলারের রেসপন্স অনেক ভালো",https://sg-test-11.slatic.net/other/roc/76724cec9c959ba604450fb138d360a3.jpg,output\images\reviews\RV10\img_01.jpg,True,,
